VersionDate,VersionDateTo,company_name,Company_domain_name,Pipeline,Deal_owner,Create_Date,Deal_Name,Amount,Deal_Probability,Forecast_probability,Deal_Stage,Close_Date,Priority
2021-12-07,2021-12-13,Jetwire,jetwire.com,Sales Pipeline,Clayton Farr,2021-12-21,Jetwire Deal (2021-12-21),5530,.80,,Contract sent,2022-01-26,High
2021-11-30,2021-12-06,Jetwire,jetwire.com,Sales Pipeline,Clayton Farr,2021-12-21,Jetwire Deal (2021-12-21),3375,.70,,Decision maker bought-In,2022-01-26,High
2021-11-09,2021-11-29,Jetwire,jetwire.com,Sales Pipeline,Clayton Farr,2021-12-21,Jetwire Deal (2021-12-21),3434,.40,,Presentation scheduled,2022-01-26,High
2021-10-26,2021-11-01,Jetwire,jetwire.com,Sales Pipeline,Clayton Farr,2021-12-21,Jetwire Deal (2021-12-21),3302,.20,,Qualified to buy,2022-01-26,High
2021-07-17,2021-07-23,Npath,npath.com,Sales Pipeline,Clayton Farr,2021-08-21,Npath Deal (2021-08-21),5352,.30,,Appointment scheduled,,
2021-08-14,2021-08-14,Npath,npath.com,Sales Pipeline,Clayton Farr,2021-08-21,Npath Deal (2021-08-21),5310,.00,,Closed lost,,
2021-08-14,2023-05-16,Npath,npath.com,Sales Pipeline,Clayton Farr,2021-08-21,Npath Deal (2021-08-21),5577,.70,,Decision maker bought-In,,
2021-07-24,2021-08-13,Npath,npath.com,Sales Pipeline,Clayton Farr,2021-08-21,Npath Deal (2021-08-21),7222,.40,,Presentation scheduled,,
2021-07-10,2021-07-16,Npath,npath.com,Sales Pipeline,Clayton Farr,2021-08-21,Npath Deal (2021-08-21),8718,.20,,Qualified to buy,,
2020-12-26,2021-01-01,Eamia,eamia.com,Sales Pipeline,Clayton Farr,2021-02-13,Eamia Deal (2021-02-13),8532,.30,,Appointment scheduled,2021-03-13,
2021-02-06,2021-02-06,Eamia,eamia.com,Sales Pipeline,Clayton Farr,2021-02-13,Eamia Deal (2021-02-13),6197,.00,,Closed lost,2021-03-13,
2021-01-30,2021-02-05,Eamia,eamia.com,Sales Pipeline,Clayton Farr,2021-02-13,Eamia Deal (2021-02-13),8282,.80,,Contract sent,2021-03-13,
2021-01-23,2021-01-29,Eamia,eamia.com,Sales Pipeline,Clayton Farr,2021-02-13,Eamia Deal (2021-02-13),7643,.70,,Decision maker bought-In,2021-03-13,
2021-01-02,2021-01-22,Eamia,eamia.com,Sales Pipeline,Clayton Farr,2021-02-13,Eamia Deal (2021-02-13),7486,.40,,Presentation scheduled,2021-03-13,
2020-12-19,2020-12-25,Eamia,eamia.com,Sales Pipeline,Clayton Farr,2021-02-13,Eamia Deal (2021-02-13),4847,.20,,Qualified to buy,2021-03-13,
2020-05-27,2020-06-02,Quaxo,quaxo.com,Sales Pipeline,Clayton Farr,2020-07-15,Quaxo Deal (2020-07-15),1685,.30,,Appointment scheduled,2020-08-06,
2020-07-08,2020-07-08,Quaxo,quaxo.com,Sales Pipeline,Clayton Farr,2020-07-15,Quaxo Deal (2020-07-15),3014,.00,,Closed lost,2020-08-06,
2020-07-01,2020-07-07,Quaxo,quaxo.com,Sales Pipeline,Clayton Farr,2020-07-15,Quaxo Deal (2020-07-15),2619,.80,,Contract sent,2020-08-06,
2020-06-24,2020-06-30,Quaxo,quaxo.com,Sales Pipeline,Clayton Farr,2020-07-15,Quaxo Deal (2020-07-15),2491,.70,,Decision maker bought-In,2020-08-06,
2020-06-03,2020-06-23,Quaxo,quaxo.com,Sales Pipeline,Clayton Farr,2020-07-15,Quaxo Deal (2020-07-15),2352,.40,,Presentation scheduled,2020-08-06,
2020-05-20,2020-05-26,Quaxo,quaxo.com,Sales Pipeline,Clayton Farr,2020-07-15,Quaxo Deal (2020-07-15),2311,.20,,Qualified to buy,2020-08-06,
2020-11-22,2020-11-28,Zava,zava.com,Sales Pipeline,Clayton Farr,2021-01-10,Zava Deal (2021-01-10),1291,.30,,Appointment scheduled,2021-02-17,Medium
2021-01-03,2021-01-03,Zava,zava.com,Sales Pipeline,Clayton Farr,2021-01-10,Zava Deal (2021-01-10),916,.00,,Closed lost,2021-02-17,Medium
2020-12-27,2021-01-02,Zava,zava.com,Sales Pipeline,Clayton Farr,2021-01-10,Zava Deal (2021-01-10),829,.80,,Contract sent,2021-02-17,Medium
2020-12-20,2020-12-26,Zava,zava.com,Sales Pipeline,Clayton Farr,2021-01-10,Zava Deal (2021-01-10),1112,.70,,Decision maker bought-In,2021-02-17,Medium
2020-11-29,2020-12-19,Zava,zava.com,Sales Pipeline,Clayton Farr,2021-01-10,Zava Deal (2021-01-10),1243,.40,,Presentation scheduled,2021-02-17,Medium
2020-11-15,2020-11-21,Zava,zava.com,Sales Pipeline,Clayton Farr,2021-01-10,Zava Deal (2021-01-10),1283,.20,,Qualified to buy,2021-02-17,Medium
2021-01-16,2021-01-22,Wordtune,wordtune.com,Sales Pipeline,Test User 2,2021-02-20,Wordtune Deal (2021-02-20),4393,.30,,Appointment scheduled,,Low
2021-02-13,2021-02-13,Wordtune,wordtune.com,Sales Pipeline,Test User 2,2021-02-20,Wordtune Deal (2021-02-20),3765,.00,,Closed lost,,Low
2021-02-13,2023-05-16,Wordtune,wordtune.com,Sales Pipeline,Test User 2,2021-02-20,Wordtune Deal (2021-02-20),3832,.70,,Decision maker bought-In,,Low
2021-01-23,2021-02-12,Wordtune,wordtune.com,Sales Pipeline,Test User 2,2021-02-20,Wordtune Deal (2021-02-20),3566,.40,,Presentation scheduled,,Low
2021-01-09,2021-01-15,Wordtune,wordtune.com,Sales Pipeline,Test User 2,2021-02-20,Wordtune Deal (2021-02-20),4496,.20,,Qualified to buy,,Low
2020-09-24,2020-09-30,Abatz,abatz.com,Sales Pipeline,Clayton Farr,2020-11-12,Abatz Deal (2020-11-12),5484,.30,,Appointment scheduled,2020-12-06,Medium
2020-11-05,2020-11-05,Abatz,abatz.com,Sales Pipeline,Clayton Farr,2020-11-12,Abatz Deal (2020-11-12),3944,.00,,Closed lost,2020-12-06,Medium
2020-10-29,2020-11-04,Abatz,abatz.com,Sales Pipeline,Clayton Farr,2020-11-12,Abatz Deal (2020-11-12),5845,.80,,Contract sent,2020-12-06,Medium
2020-10-22,2020-10-28,Abatz,abatz.com,Sales Pipeline,Clayton Farr,2020-11-12,Abatz Deal (2020-11-12),4620,.70,,Decision maker bought-In,2020-12-06,Medium
2020-10-01,2020-10-21,Abatz,abatz.com,Sales Pipeline,Clayton Farr,2020-11-12,Abatz Deal (2020-11-12),5281,.40,,Presentation scheduled,2020-12-06,Medium
2020-09-17,2020-09-23,Abatz,abatz.com,Sales Pipeline,Clayton Farr,2020-11-12,Abatz Deal (2020-11-12),5081,.20,,Qualified to buy,2020-12-06,Medium
2020-02-05,2020-02-11,Jatri,jatri.com,Sales Pipeline,Test User 2,2020-03-25,Jatri Deal (2020-03-25),5169,.30,,Appointment scheduled,2020-04-22,
2020-03-18,2020-03-18,Jatri,jatri.com,Sales Pipeline,Test User 2,2020-03-25,Jatri Deal (2020-03-25),3314,.00,,Closed lost,2020-04-22,
2020-03-11,2020-03-17,Jatri,jatri.com,Sales Pipeline,Test User 2,2020-03-25,Jatri Deal (2020-03-25),3805,.80,,Contract sent,2020-04-22,
2020-03-04,2020-03-10,Jatri,jatri.com,Sales Pipeline,Test User 2,2020-03-25,Jatri Deal (2020-03-25),2927,.70,,Decision maker bought-In,2020-04-22,
2020-02-12,2020-03-03,Jatri,jatri.com,Sales Pipeline,Test User 2,2020-03-25,Jatri Deal (2020-03-25),3235,.40,,Presentation scheduled,2020-04-22,
2020-01-29,2020-02-04,Jatri,jatri.com,Sales Pipeline,Test User 2,2020-03-25,Jatri Deal (2020-03-25),5100,.20,,Qualified to buy,2020-04-22,
2021-01-22,2021-01-28,BlogXS,blogxs.com,Sales Pipeline,Test User 2,2021-03-12,BlogXS Deal (2021-03-12),3478,.30,,Appointment scheduled,2021-04-08,
2021-03-05,2021-03-05,BlogXS,blogxs.com,Sales Pipeline,Test User 2,2021-03-12,BlogXS Deal (2021-03-12),5499,.00,,Closed lost,2021-04-08,
2021-02-26,2021-03-04,BlogXS,blogxs.com,Sales Pipeline,Test User 2,2021-03-12,BlogXS Deal (2021-03-12),4858,.80,,Contract sent,2021-04-08,
2021-02-19,2021-02-25,BlogXS,blogxs.com,Sales Pipeline,Test User 2,2021-03-12,BlogXS Deal (2021-03-12),4820,.70,,Decision maker bought-In,2021-04-08,
2021-01-29,2021-02-18,BlogXS,blogxs.com,Sales Pipeline,Test User 2,2021-03-12,BlogXS Deal (2021-03-12),4980,.40,,Presentation scheduled,2021-04-08,
2021-01-15,2021-01-21,BlogXS,blogxs.com,Sales Pipeline,Test User 2,2021-03-12,BlogXS Deal (2021-03-12),5389,.20,,Qualified to buy,2021-04-08,
2020-12-06,2020-12-12,Skalith,skalith.com,Sales Pipeline,Clayton Farr,2021-01-24,Skalith Deal (2021-01-24),1161,.30,,Appointment scheduled,2021-02-19,
2021-01-17,2021-01-17,Skalith,skalith.com,Sales Pipeline,Clayton Farr,2021-01-24,Skalith Deal (2021-01-24),1702,.00,,Closed lost,2021-02-19,
2021-01-10,2021-01-16,Skalith,skalith.com,Sales Pipeline,Clayton Farr,2021-01-24,Skalith Deal (2021-01-24),1340,.80,,Contract sent,2021-02-19,
2021-01-03,2021-01-09,Skalith,skalith.com,Sales Pipeline,Clayton Farr,2021-01-24,Skalith Deal (2021-01-24),1901,.70,,Decision maker bought-In,2021-02-19,
2020-12-13,2021-01-02,Skalith,skalith.com,Sales Pipeline,Clayton Farr,2021-01-24,Skalith Deal (2021-01-24),1254,.40,,Presentation scheduled,2021-02-19,
2020-11-29,2020-12-05,Skalith,skalith.com,Sales Pipeline,Clayton Farr,2021-01-24,Skalith Deal (2021-01-24),1395,.20,,Qualified to buy,2021-02-19,
2020-11-05,2020-11-11,Zoombox,zoombox.com,Sales Pipeline,Test User 2,2020-12-03,Zoombox Deal (2020-12-03),5254,.30,,Appointment scheduled,,Medium
2020-11-26,2020-11-26,Zoombox,zoombox.com,Sales Pipeline,Test User 2,2020-12-03,Zoombox Deal (2020-12-03),3793,.00,,Closed lost,,Medium
2020-11-12,2020-11-25,Zoombox,zoombox.com,Sales Pipeline,Test User 2,2020-12-03,Zoombox Deal (2020-12-03),3974,.40,,Presentation scheduled,,Medium
2020-10-29,2020-11-04,Zoombox,zoombox.com,Sales Pipeline,Test User 2,2020-12-03,Zoombox Deal (2020-12-03),4741,.20,,Qualified to buy,,Medium
2019-12-12,2019-12-18,Jabbertype,jabbertype.com,Sales Pipeline,Test User 2,2020-01-30,Jabbertype Deal (2020-01-30),2471,.30,,Appointment scheduled,2020-03-04,
2020-01-23,2020-01-23,Jabbertype,jabbertype.com,Sales Pipeline,Test User 2,2020-01-30,Jabbertype Deal (2020-01-30),2172,.00,,Closed lost,2020-03-04,
2020-01-16,2020-01-22,Jabbertype,jabbertype.com,Sales Pipeline,Test User 2,2020-01-30,Jabbertype Deal (2020-01-30),3562,.80,,Contract sent,2020-03-04,
2020-01-09,2020-01-15,Jabbertype,jabbertype.com,Sales Pipeline,Test User 2,2020-01-30,Jabbertype Deal (2020-01-30),3619,.70,,Decision maker bought-In,2020-03-04,
2019-12-19,2020-01-08,Jabbertype,jabbertype.com,Sales Pipeline,Test User 2,2020-01-30,Jabbertype Deal (2020-01-30),4095,.40,,Presentation scheduled,2020-03-04,
2019-12-05,2019-12-11,Jabbertype,jabbertype.com,Sales Pipeline,Test User 2,2020-01-30,Jabbertype Deal (2020-01-30),3766,.20,,Qualified to buy,2020-03-04,
2021-07-04,2021-07-10,Eidel,eidel.com,Sales Pipeline,Clayton Farr,2021-08-22,Eidel Deal (2021-08-22),9925,.30,,Appointment scheduled,2021-09-25,Medium
2021-08-15,2021-08-15,Eidel,eidel.com,Sales Pipeline,Clayton Farr,2021-08-22,Eidel Deal (2021-08-22),7048,.00,,Closed lost,2021-09-25,Medium
2021-08-08,2021-08-14,Eidel,eidel.com,Sales Pipeline,Clayton Farr,2021-08-22,Eidel Deal (2021-08-22),9858,.80,,Contract sent,2021-09-25,Medium
2021-08-01,2021-08-07,Eidel,eidel.com,Sales Pipeline,Clayton Farr,2021-08-22,Eidel Deal (2021-08-22),9800,.70,,Decision maker bought-In,2021-09-25,Medium
2021-07-11,2021-07-31,Eidel,eidel.com,Sales Pipeline,Clayton Farr,2021-08-22,Eidel Deal (2021-08-22),9366,.40,,Presentation scheduled,2021-09-25,Medium
2021-06-27,2021-07-03,Eidel,eidel.com,Sales Pipeline,Clayton Farr,2021-08-22,Eidel Deal (2021-08-22),5768,.20,,Qualified to buy,2021-09-25,Medium
2020-04-04,2020-04-10,Skynoodle,skynoodle.com,Sales Pipeline,Test User 2,2020-05-23,Skynoodle Deal (2020-05-23),397,.30,,Appointment scheduled,2020-06-13,
2020-05-16,2020-05-16,Skynoodle,skynoodle.com,Sales Pipeline,Test User 2,2020-05-23,Skynoodle Deal (2020-05-23),724,.00,,Closed lost,2020-06-13,
2020-05-09,2020-05-15,Skynoodle,skynoodle.com,Sales Pipeline,Test User 2,2020-05-23,Skynoodle Deal (2020-05-23),474,.80,,Contract sent,2020-06-13,
2020-05-02,2020-05-08,Skynoodle,skynoodle.com,Sales Pipeline,Test User 2,2020-05-23,Skynoodle Deal (2020-05-23),683,.70,,Decision maker bought-In,2020-06-13,
2020-04-11,2020-05-01,Skynoodle,skynoodle.com,Sales Pipeline,Test User 2,2020-05-23,Skynoodle Deal (2020-05-23),758,.40,,Presentation scheduled,2020-06-13,
2020-03-28,2020-04-03,Skynoodle,skynoodle.com,Sales Pipeline,Test User 2,2020-05-23,Skynoodle Deal (2020-05-23),670,.20,,Qualified to buy,2020-06-13,
2021-07-17,2021-07-23,Mita,mita.com,Sales Pipeline,Test User 2,2021-09-04,Mita Deal (2021-09-04),7994,.30,,Appointment scheduled,2021-09-24,Low
2021-08-28,2021-08-28,Mita,mita.com,Sales Pipeline,Test User 2,2021-09-04,Mita Deal (2021-09-04),7441,.00,,Closed lost,2021-09-24,Low
2021-08-21,2021-08-27,Mita,mita.com,Sales Pipeline,Test User 2,2021-09-04,Mita Deal (2021-09-04),6862,.80,,Contract sent,2021-09-24,Low
2021-08-14,2021-08-20,Mita,mita.com,Sales Pipeline,Test User 2,2021-09-04,Mita Deal (2021-09-04),4637,.70,,Decision maker bought-In,2021-09-24,Low
2021-07-24,2021-08-13,Mita,mita.com,Sales Pipeline,Test User 2,2021-09-04,Mita Deal (2021-09-04),5855,.40,,Presentation scheduled,2021-09-24,Low
2021-07-10,2021-07-16,Mita,mita.com,Sales Pipeline,Test User 2,2021-09-04,Mita Deal (2021-09-04),5277,.20,,Qualified to buy,2021-09-24,Low
2020-12-18,2020-12-24,Zoombox,zoombox.com,Sales Pipeline,Test User 2,2021-02-05,Zoombox Deal (2021-02-05),3879,.30,,Appointment scheduled,2021-03-19,
2021-01-29,2021-01-29,Zoombox,zoombox.com,Sales Pipeline,Test User 2,2021-02-05,Zoombox Deal (2021-02-05),2825,.00,,Closed lost,2021-03-19,
2021-01-22,2021-01-28,Zoombox,zoombox.com,Sales Pipeline,Test User 2,2021-02-05,Zoombox Deal (2021-02-05),4695,.80,,Contract sent,2021-03-19,
2021-01-15,2021-01-21,Zoombox,zoombox.com,Sales Pipeline,Test User 2,2021-02-05,Zoombox Deal (2021-02-05),4182,.70,,Decision maker bought-In,2021-03-19,
2020-12-25,2021-01-14,Zoombox,zoombox.com,Sales Pipeline,Test User 2,2021-02-05,Zoombox Deal (2021-02-05),3032,.40,,Presentation scheduled,2021-03-19,
2020-12-11,2020-12-17,Zoombox,zoombox.com,Sales Pipeline,Test User 2,2021-02-05,Zoombox Deal (2021-02-05),4070,.20,,Qualified to buy,2021-03-19,
2020-03-30,2020-04-05,Abata,abata.com,Sales Pipeline,Clayton Farr,2020-05-18,Abata Deal (2020-05-18),1991,.30,,Appointment scheduled,2020-06-11,
2020-05-11,2020-05-11,Abata,abata.com,Sales Pipeline,Clayton Farr,2020-05-18,Abata Deal (2020-05-18),2189,.00,,Closed lost,2020-06-11,
2020-05-04,2020-05-10,Abata,abata.com,Sales Pipeline,Clayton Farr,2020-05-18,Abata Deal (2020-05-18),1913,.80,,Contract sent,2020-06-11,
2020-04-27,2020-05-03,Abata,abata.com,Sales Pipeline,Clayton Farr,2020-05-18,Abata Deal (2020-05-18),2027,.70,,Decision maker bought-In,2020-06-11,
2020-04-06,2020-04-26,Abata,abata.com,Sales Pipeline,Clayton Farr,2020-05-18,Abata Deal (2020-05-18),1625,.40,,Presentation scheduled,2020-06-11,
2020-03-23,2020-03-29,Abata,abata.com,Sales Pipeline,Clayton Farr,2020-05-18,Abata Deal (2020-05-18),1347,.20,,Qualified to buy,2020-06-11,
2020-12-21,2020-12-27,Skyvu,skyvu.com,Sales Pipeline,Clayton Farr,2021-02-08,Skyvu Deal (2021-02-08),1843,.30,,Appointment scheduled,2021-03-09,
2021-02-01,2021-02-01,Skyvu,skyvu.com,Sales Pipeline,Clayton Farr,2021-02-08,Skyvu Deal (2021-02-08),2421,.00,,Closed lost,2021-03-09,
2021-01-25,2021-01-31,Skyvu,skyvu.com,Sales Pipeline,Clayton Farr,2021-02-08,Skyvu Deal (2021-02-08),1826,.80,,Contract sent,2021-03-09,
2021-01-18,2021-01-24,Skyvu,skyvu.com,Sales Pipeline,Clayton Farr,2021-02-08,Skyvu Deal (2021-02-08),3356,.70,,Decision maker bought-In,2021-03-09,
2020-12-28,2021-01-17,Skyvu,skyvu.com,Sales Pipeline,Clayton Farr,2021-02-08,Skyvu Deal (2021-02-08),2348,.40,,Presentation scheduled,2021-03-09,
2020-12-14,2020-12-20,Skyvu,skyvu.com,Sales Pipeline,Clayton Farr,2021-02-08,Skyvu Deal (2021-02-08),2959,.20,,Qualified to buy,2021-03-09,
2020-10-27,2020-11-02,Devshare,devshare.com,Sales Pipeline,Clayton Farr,2020-12-15,Devshare Deal (2020-12-15),235,.30,,Appointment scheduled,2020-12-30,Low
2020-12-08,2020-12-08,Devshare,devshare.com,Sales Pipeline,Clayton Farr,2020-12-15,Devshare Deal (2020-12-15),315,.00,,Closed lost,2020-12-30,Low
2020-12-01,2020-12-07,Devshare,devshare.com,Sales Pipeline,Clayton Farr,2020-12-15,Devshare Deal (2020-12-15),284,.80,,Contract sent,2020-12-30,Low
2020-11-24,2020-11-30,Devshare,devshare.com,Sales Pipeline,Clayton Farr,2020-12-15,Devshare Deal (2020-12-15),284,.70,,Decision maker bought-In,2020-12-30,Low
2020-11-03,2020-11-23,Devshare,devshare.com,Sales Pipeline,Clayton Farr,2020-12-15,Devshare Deal (2020-12-15),207,.40,,Presentation scheduled,2020-12-30,Low
2020-10-20,2020-10-26,Devshare,devshare.com,Sales Pipeline,Clayton Farr,2020-12-15,Devshare Deal (2020-12-15),240,.20,,Qualified to buy,2020-12-30,Low
2020-07-06,2020-07-12,Yodo,yodo.com,Sales Pipeline,Clayton Farr,2020-08-10,Yodo Deal (2020-08-10),4013,.30,,Appointment scheduled,,
2020-08-03,2020-08-03,Yodo,yodo.com,Sales Pipeline,Clayton Farr,2020-08-10,Yodo Deal (2020-08-10),4436,.00,,Closed lost,,
2020-08-03,2023-05-16,Yodo,yodo.com,Sales Pipeline,Clayton Farr,2020-08-10,Yodo Deal (2020-08-10),4000,.70,,Decision maker bought-In,,
2020-07-13,2020-08-02,Yodo,yodo.com,Sales Pipeline,Clayton Farr,2020-08-10,Yodo Deal (2020-08-10),6065,.40,,Presentation scheduled,,
2020-06-29,2020-07-05,Yodo,yodo.com,Sales Pipeline,Clayton Farr,2020-08-10,Yodo Deal (2020-08-10),5295,.20,,Qualified to buy,,
2021-10-12,2021-10-18,Yadel,yadel.com,Sales Pipeline,Test User 2,2021-11-30,Yadel Deal (2021-11-30),2161,.30,,Appointment scheduled,2021-12-28,
2021-11-23,2021-11-23,Yadel,yadel.com,Sales Pipeline,Test User 2,2021-11-30,Yadel Deal (2021-11-30),1359,.00,,Closed lost,2021-12-28,
2021-11-16,2021-11-22,Yadel,yadel.com,Sales Pipeline,Test User 2,2021-11-30,Yadel Deal (2021-11-30),1500,.80,,Contract sent,2021-12-28,
2021-11-09,2021-11-15,Yadel,yadel.com,Sales Pipeline,Test User 2,2021-11-30,Yadel Deal (2021-11-30),2242,.70,,Decision maker bought-In,2021-12-28,
2021-10-19,2021-11-08,Yadel,yadel.com,Sales Pipeline,Test User 2,2021-11-30,Yadel Deal (2021-11-30),2198,.40,,Presentation scheduled,2021-12-28,
2021-10-05,2021-10-11,Yadel,yadel.com,Sales Pipeline,Test User 2,2021-11-30,Yadel Deal (2021-11-30),1169,.20,,Qualified to buy,2021-12-28,
2021-07-04,2021-07-04,Topiczoom,topiczoom.com,Sales Pipeline,Clayton Farr,2021-07-11,Topiczoom Deal (2021-07-11),2110,.00,,Closed lost,,
2021-11-18,2021-11-24,Izio,izio.com,Sales Pipeline,Test User 2,2021-12-23,Izio Deal (2021-12-23),1426,.30,,Appointment scheduled,,
2021-12-16,2021-12-16,Izio,izio.com,Sales Pipeline,Test User 2,2021-12-23,Izio Deal (2021-12-23),825,.00,,Closed lost,,
2021-12-16,2023-05-16,Izio,izio.com,Sales Pipeline,Test User 2,2021-12-23,Izio Deal (2021-12-23),814,.70,,Decision maker bought-In,,
2021-11-25,2021-12-15,Izio,izio.com,Sales Pipeline,Test User 2,2021-12-23,Izio Deal (2021-12-23),879,.40,,Presentation scheduled,,
2021-11-11,2021-11-17,Izio,izio.com,Sales Pipeline,Test User 2,2021-12-23,Izio Deal (2021-12-23),1430,.20,,Qualified to buy,,
2020-05-23,2020-05-29,Skyndu,skyndu.com,Sales Pipeline,Test User 2,2020-06-27,Skyndu Deal (2020-06-27),5376,.30,,Appointment scheduled,,
2020-06-20,2020-06-20,Skyndu,skyndu.com,Sales Pipeline,Test User 2,2020-06-27,Skyndu Deal (2020-06-27),4074,.00,,Closed lost,,
2020-06-20,2023-05-16,Skyndu,skyndu.com,Sales Pipeline,Test User 2,2020-06-27,Skyndu Deal (2020-06-27),5886,.70,,Decision maker bought-In,,
2020-05-30,2020-06-19,Skyndu,skyndu.com,Sales Pipeline,Test User 2,2020-06-27,Skyndu Deal (2020-06-27),6415,.40,,Presentation scheduled,,
2020-05-16,2020-05-22,Skyndu,skyndu.com,Sales Pipeline,Test User 2,2020-06-27,Skyndu Deal (2020-06-27),6376,.20,,Qualified to buy,,
2020-09-12,2020-09-18,Trilith,trilith.com,Sales Pipeline,Clayton Farr,2020-10-31,Trilith Deal (2020-10-31),6640,.30,,Appointment scheduled,2020-11-28,High
2020-10-24,2020-10-24,Trilith,trilith.com,Sales Pipeline,Clayton Farr,2020-10-31,Trilith Deal (2020-10-31),5859,.00,,Closed lost,2020-11-28,High
2020-10-17,2020-10-23,Trilith,trilith.com,Sales Pipeline,Clayton Farr,2020-10-31,Trilith Deal (2020-10-31),5204,.80,,Contract sent,2020-11-28,High
2020-10-10,2020-10-16,Trilith,trilith.com,Sales Pipeline,Clayton Farr,2020-10-31,Trilith Deal (2020-10-31),5457,.70,,Decision maker bought-In,2020-11-28,High
2020-09-19,2020-10-09,Trilith,trilith.com,Sales Pipeline,Clayton Farr,2020-10-31,Trilith Deal (2020-10-31),4994,.40,,Presentation scheduled,2020-11-28,High
2020-09-05,2020-09-11,Trilith,trilith.com,Sales Pipeline,Clayton Farr,2020-10-31,Trilith Deal (2020-10-31),5625,.20,,Qualified to buy,2020-11-28,High
2021-03-07,2021-03-13,InnoZ,innoz.com,Sales Pipeline,Test User 2,2021-04-25,InnoZ Deal (2021-04-25),1346,.30,,Appointment scheduled,2021-06-02,High
2021-04-18,2021-04-18,InnoZ,innoz.com,Sales Pipeline,Test User 2,2021-04-25,InnoZ Deal (2021-04-25),1648,.00,,Closed lost,2021-06-02,High
2021-04-11,2021-04-17,InnoZ,innoz.com,Sales Pipeline,Test User 2,2021-04-25,InnoZ Deal (2021-04-25),1393,.80,,Contract sent,2021-06-02,High
2021-04-04,2021-04-10,InnoZ,innoz.com,Sales Pipeline,Test User 2,2021-04-25,InnoZ Deal (2021-04-25),1544,.70,,Decision maker bought-In,2021-06-02,High
2021-03-14,2021-04-03,InnoZ,innoz.com,Sales Pipeline,Test User 2,2021-04-25,InnoZ Deal (2021-04-25),1225,.40,,Presentation scheduled,2021-06-02,High
2021-02-28,2021-03-06,InnoZ,innoz.com,Sales Pipeline,Test User 2,2021-04-25,InnoZ Deal (2021-04-25),1801,.20,,Qualified to buy,2021-06-02,High
2020-05-05,2020-05-11,Wikibox,wikibox.com,Sales Pipeline,Test User 2,2020-06-09,Wikibox Deal (2020-06-09),2358,.30,,Appointment scheduled,,
2020-06-02,2020-06-02,Wikibox,wikibox.com,Sales Pipeline,Test User 2,2020-06-09,Wikibox Deal (2020-06-09),1822,.00,,Closed lost,,
2020-06-02,2023-05-16,Wikibox,wikibox.com,Sales Pipeline,Test User 2,2020-06-09,Wikibox Deal (2020-06-09),1429,.70,,Decision maker bought-In,,
